Textbox14
Micro Nutrients Status for  

Textbox12,State_Name,B_S,B_D,Cu_S,Cu_D,Fe_S,Fe_D,Mn_S,Mn_D,S_S,S_D,Zn_S,Zn_D,SampleNo,SamplesEntered,Textbox8,Textbox15,SHCPrinted1,Textbox4,Textbox16,Textbox19,Textbox24,Textbox27,Textbox30,Textbox33,Textbox36,Textbox39
11,Karnataka,"102,735","136,565","224,024","14,807","178,087","60,982","196,835","39,476","145,480","93,870","133,828","105,337","260,796","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
12,Kerala,822,"1,962","2,739",81,"2,722",119,"2,685",148,"1,650","1,130","2,610",229,"6,462","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
13,Madhya Pradesh,"66,538","35,582","98,265","4,055","75,850","26,888","88,309","14,297","75,217","27,361","63,557","39,679","73,448","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
14,Maharashtra,"6,744","3,688","10,726",489,"4,113","7,282","9,076","2,153","5,986","4,437","6,367","5,037","8,594","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
15,Manipur,8,2,10,2,15,10,5,5,33,11,38,17,155,"222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
16,Meghalaya,2,1,467,53,512,7,416,97,1,2,414,105,"9,489","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
17,Mizoram,0,0,0,0,0,0,0,0,2,0,2,0,2,"222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
18,Nagaland,44,1,67,1,67,1,67,1,46,22,67,1,"1,005","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
19,Odisha,"3,865","4,045","3,592","1,062","3,097","1,554","2,407","2,089","5,821","4,010","6,229","3,393","29,320","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
20,Puducherry,0,352,594,6,541,58,591,5,0,0,578,23,642,"222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
21,Punjab,3,22,65,22,62,24,37,50,16,67,50,37,17,"222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
22,Rajasthan,2,1,255,4,132,127,255,2,218,41,141,118,"9,454","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
23,Sikkim,382,197,546,33,521,58,522,57,515,64,389,190,"1,381","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
24,Tamil Nadu,"1,315","1,077","2,276",114,"1,681",712,"1,834",508,"1,399",993,"1,430",963,"3,448","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
25,Telangana,318,645,455,478,77,856,416,512,588,374,429,534,959,"222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
26,Tripura,"2,947","1,146","4,074",17,"4,083",11,"4,065",26,"4,011",88,"2,117","1,981","3,300","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
27,Uttar Pradesh,"3,200","2,394","5,233",477,"2,746","2,973","5,219",394,"3,831","1,891","4,325","1,395","2,808","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
28,Uttarakhand,102,136,236,2,235,3,216,22,202,36,229,9,328,"222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
29,West Bengal,11,1,12,0,12,0,11,1,7,5,12,0,12,"222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"

